Category,Nominee,Film,Vote %,User's Pick,Image URL
Best Supporting Actress,Teyana Taylor,One Battle After Another,23%,Yes,https://media.vanityfair.com/photos/69459ca03540978087923900/1:1/w_300,h_300,c_limit/vf1225-monsters-one-battle-after-another.jpg
Best Supporting Actor,Benicio Del Toro,One Battle After Another,8%,,https://media.vanityfair.com/photos/6984bd80282cb3b323618562/1:1/w_300,h_300,c_limit/Benicio-Del-Toro.jpg
Best Supporting Actor,Jacob Elordi,Frankenstein,12%,Yes,https://media.vanityfair.com/photos/6980f246a9f54c8d7bb1079a/1:1/w_300,h_300,c_limit/Frankenstein.jpg
Best Supporting Actor,Delroy Lindo,Sinners,17%,,https://media.vanityfair.com/photos/6980e7b646b86b2fb3c36e56/1:1/w_300,h_300,c_limit/Delroy-Lindo-sinners-film-2025.jpg
Best Supporting Actor,Sean Penn,One Battle After Another,46%,,https://media.vanityfair.com/photos/68d43885b9909ad32d7385a9/1:1/w_300,h_300,c_limit/one-battle-sean-penn-embed.jpg
Best Supporting Actor,Stellan Skarsgård,Sentimental Value,16%,,https://media.vanityfair.com/photos/6980e826c319510dba722560/1:1/w_300,h_300,c_limit/vf226-sentimental-value-film-2025.jpg
Best Original Screenplay,Blue Moon (Robert Kaplow),Blue Moon,3%,,https://media.vanityfair.com/photos/6924cb74f1a8b5ea51e21af2/1:1/w_300,h_300,c_limit/Blue-Moon.jpg
Best Original Screenplay,It Was Just an Accident (Jafar Panahi et al.),It Was Just an Accident,4%,,https://media.vanityfair.com/photos/6984b89f90beed24b7dab9f9/1:1/w_300,h_300,c_limit/it-was-just-an-accident-film-still-01.jpg
Best Original Screenplay,Marty Supreme (Ronald Bronstein & Josh Safdie),Marty Supreme,9%,,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Original Screenplay,Sentimental Value (Eskil Vogt & Joachim Trier),Sentimental Value,8%,,https://media.vanityfair.com/photos/696535c143c6f08d6191ecc9/1:1/w_300,h_300,c_limit/MCDSEVA_EC019.png
Best Original Screenplay,Sinners (Ryan Coogler),Sinners,76%,Yes,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Adapted Screenplay,Bugonia (Will Tracy),Bugonia,6%,,https://media.vanityfair.com/photos/6980f061c319510dba722562/1:1/w_300,h_300,c_limit/Bugonia.jpg
Best Adapted Screenplay,Frankenstein (Guillermo del Toro),Frankenstein,9%,,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
